expiry_valid,license_format_valid,authority_found,name_match,document_uploaded,label
1,1,1,1,1,approved
1,1,1,1,0,review_required
1,1,1,0,1,review_required
1,1,0,1,1,review_required
1,0,1,1,1,review_required
0,1,1,1,1,review_required
0,0,1,1,1,rejected
0,1,0,1,0,rejected
0,0,0,1,1,rejected
1,0,0,0,1,rejected
0,0,0,0,1,rejected
0,0,0,0,0,rejected
1,1,0,0,1,rejected
0,1,1,0,0,rejected
1,1,1,0,0,review_required
1,0,1,0,1,rejected
1,1,0,1,0,rejected
0,1,0,0,1,rejected
1,0,0,1,1,rejected
1,1,1,1,1,approved
1,1,1,1,1,approved
0,0,1,1,0,rejected
1,1,0,0,0,rejected
1,0,1,1,0,review_required
0,1,1,1,1,review_required
